ref,base,aut,inc,oeu,incfr,gp,ndat,nlc,lc,sre,srcho,mc,cat,comp,dep,autsre,sui,autt,crit,neff,attr,nlitur,tex,num,nott,not,ded,sign,nsre,fcn,fcna,ncho,gnr,cho,cot,part,ed,arg,codinc,lien,intp,eff,instr,nrole,nc,nnc,role,inf,dat,rec,scat,cata,utxt,bibl,disc,cf,évnt,frag,srlitt,gnrt,trad,oeucit,pass,comm,mucont,jlbbur,img,n°img,noms,lcinst
16861214,# compte-rendu,,,,,,,,"AMIENS	ARRAS, Abbaye de Saint-Vaast	BÉTHUNE	DUNKERQUE	LILLE, Hôtel de ville	SAINT-OMER	TOURNAI	ARRAS, Cathédrale Saint-Vaast","Mercure Galant, décembre 1686, seconde partie, Voyage des Ambassadeurs de Siam en France, Contenant la récéption qui leur a esté faite dans les Villes où ils ont passé, leurs Entrées dans Paris, les Cérémonies observées dans l'Audience qu'il ont euë du Roy & de la Maison Royale, les Compliments qu'ils ont faits, la Description des Lieux où ils ont esté, & ce qu'ils ont dit de remarquable sur tout ce qu'ils ont veu, p. 126, 141-142, 174, 180-181, 191-192, 203-206, 225-226, 252-253, 266-267, 286-288, 290-291, 293",,diplomatie	musique de cérémonie civile	cloche	concert	musique de table	bal	comédie	costume de théâtre	viole de gambe	disposition pour la danse	tambour	orgue	timbale	trompette	violon	hautbois	flûte douce	réception officielle,1686.12.14,,,,,,,,,,"On trouvera une Description Historique de toutes les Places, dont les noms suivent avec un détail des honneurs que les Ambassadeurs y ont receus, & de tout ce qu'ils y ont vû, fait & dit, qu'on n'a pas jugé à propos de répéter à chaque article de Ville.		[Les Ambassadeurs quittèrent la France pour rejoindre les Flandres. La fin du volume est consacrée à la description de l'accueil qui leur fut reservé dans chacune des villes qu'ils visitèrent.]		Amiens	[...][Ils furent conduits] Tambours battant [...] jusqu'à la porte du lieu qui avoit esté destiné pour leur logement.		Arras	[...] [Lors de leur entrée dans la ville] le Carillon se fit entendre, & l'on sonna une Cloche appellée Joyeuse, parce qu'on ne la sonne jamais que pour les sujets de réjoüissances. [...]		Ils prirent beaucoup de plaisir à entendre les Orgues de [la] Cathédrale, qui sont fort bonnes [...]		Au sortir de l'Abbaye de Saint Vaast, ils allèrent au Concert dont on leur avoit parlé le matin, & dont Madame de Préfontaine, femme du Président du Conseil d'Artois, faisoit les honneurs. Elle les reçût accompagnées des principales Dames de la Ville. Les Musiciens estoient dans une fort grande Salle, dans laquelle il se trouva une grande affluence de monde, quelque ordre qu'on eût apporté pour empêcher la foule. Ils furent fort satisfaits de ce Concert, & le témoignèrent à Madame de Préfontaine, en luy faisant leurs remerciements. [...]		Béthune	[...] Ils arrestèrent le soir Mr Chanterene [Lieutenant Colonel d'Infanterie] à souper, avec le Capitaine qui commandoit la Garde devant leur logis. Mr de Chanterene fit venir des Violons, qui joüèrent pendant tout le Repas. [...]		S. Omer	[...] Le concours des Dames fut grand le soir à leur soupé. La Ville envoya des Violons qui joüèrent pendant tout le Repas, & il y eût Bal si tost que l'on fut sorty de table. [...] Les Jésuites leur donnèrent une Collation où la propreté répondit à l'abondance de tout ce qui y fut servy : elle fut accompagnée d'un grand Concert d'Instrumens. [...]		Dunkerque	[...] Comme on leur avoit donné les Violons, ce qui continua tant qu'ils séjournèrent à Dunkerque, ils avoient mandé les noms de plusieurs Airs, & même la raison des noms qu'on leur avoit dits. La Folie d'Espagne s'estant trouvée de ce nombre, il ne se rencontra personne qui leur pût apprendre pourquoy cet Air eu ce nom : ce qui fut cause que Mr Megron leur ayant demandé l'Ordre, ils dirent La Folie d'Espagne. Mr Tors leur demanda, pourquoy ils donnoient ce mot. Ils répondirent, qu'ils avoient peut-estre plus de raison de le donner, que le Musicien n'en avoit eu de nommer Folie un Air qui paroissoit très beau, puisque c'en estoit une très grande que d'avoir laissé prendre la Ville de Dunkerque. [...]		Lille	[...] Mrs du Magistrat leur donnèrent la Comédie dans l'Hostel de Ville, après quoy ils passèrent dans une grande Salle, où il y avoit un Concert de Voix, & d'instrumens qui dura une heure & demie. [...]		[Ils] allèrent souper chez Mr de la Rablière, qui les avoit invités. Ce Repas fut d'une très grande magnificence, & accompagné d'une Simphonie, composée d'un fort grand nombre d'Instrumens [...] Il y eût un grand Bal après le soupé, où Melle Despierre se fit admirer. On m'a assuré qu'elle est de la force de tout ce qu'il y a de personnes en France qui dancent le mieux. [...]		Tournay	[...] On joüa une Pièce comique ; mais afin de faire voir de beaux Habits aux Ambassadeurs, Mr le Comte de Maulevrier ordonna aux Comédiens de se vestir à la Romaine ; ce qui réüssit fort bien [...]		En attendant l'heure du soupé, on leur donna le divertissement d'un Concert de Musique, composé de très belles voix, d'une viole & de quelques flûtes douces. Ce Concert fut trouvé bien exécuté & de bon goût. [...]		Pendant le soupé, on leur donna le divertissement d'un autre Concert composé de voix, de Hautbois, & de Violons. Mr de Maulevrier but à leurs Santez, & ils luy firent raison chacun en particulier [...] Il beut ensuite à l'Alliance des deux Couronnes, & lorsque les Ambassadeurs y burrent aussi, on entendit une décharge de quantité de Boëtes. Elle fut suivie presque aussi tost d'un grand bruit de Timbales & de Trompettes qui continua jusqu'à ce que les Ambassadeurs bussent à la Santé du Roy de France. Pendant que Mr le Comte de Maulevrier leur en fit raison, une autre décharge de boëtes se fit entendre, & le bruit des Timballes & des Trompettes recommença. On but à la Santé du puissant Roy de Siam, & pendant ce temps, la mesme quantité de boëtes, de Timballes, & de Trompettes fit encore le même bruit. Il continua lorsque Mr le Comte de Maulevrier but à leur bon Voyage. [...]		[Après le repas, le comte de Maulevrier les invita au jardin où l'on donnait un feu d'artifice.] Ils rentèrent dans une salle où ils trouvèrent les Dames rangées, & quantité de violons qui joüoient. Comme ils avoient sceu que Mr le Comte de Maulevrier leur vouloit donner le divertissement d'un Bal, ils prirent les places qui leur estoient préparées, & virent dancer pendant deux heures avec une joye qui faisoit connoître qu'ils estoient très satisfait de tous ces plaisirs ; après quoy ils prirent congé de Mr le Gouverneur.",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LOUIS XIV [1638-1715], roi de France	LA RABLIÈRE, François de Breuq [1623-1704], marquis de	NARAÏ, Phra [1632-1688], roi de Siam	DESPIERRE, Mlle	MAULEVRIER, Édouard-François Colbert [1634-1693], comte de	PRÉFONTAINE, Mr de	CHANTERENE, Mr de	TORS, Mr	AMBASSADEUR DU SIAM À LA COUR DE FRANCE [1686.09]	MEGRON, Mr	PRÉFONTAINE, Mme de",,,,1686.12,,16861214,,,,,,,,,,,,,,,,,,,Jésuites de Saint-Omer
16861213,# compte-rendu,,,,,,,,"PARIS, Église Saint-Médéric","Mercure Galant, décembre 1686, seconde partie, Voyage des Ambassadeurs de Siam en France, Contenant la récéption qui leur a esté faite dans les Villes où ils ont passé, leurs Entrées dans Paris, les Cérémonies observées dans l'Audience qu'il ont euë du Roy & de la Maison Royale, les Compliments qu'ils ont faits, la Description des Lieux où ils ont esté, & ce qu'ils ont dit de remarquable sur tout ce qu'ils ont veu, p. 62-63",,diplomatie	orgue,1686.12.13,,,,,,,,,,"Ils vont entendre les Orgues de S. Méderic		Les Ambassadeurs en s'en retournant entrèrent dans S Méderic, pour entendre les Orgues de cette Eglise, qui ont la réputation d'estre aussi bonnes que l'organiste est habile. Elles leur donnèrent beaucoup de plaisirs, mais ils y en auroient encore pris d'avantage, sans la foule extraordinaire de peuple qui s'y rencontra.",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,AMBASSADEUR DU SIAM À LA COUR DE FRANCE [1686.09],,,,1686.12,,16861213,,,,,,,,,,,,,,,,,,,
16861212,# compte-rendu,,,,,,,,"PARIS, Faubourg Saint-Antoine	PARIS, Maison des Pères Jésuites, dite Montlouis","Mercure Galant, décembre 1686, seconde partie, Voyage des Ambassadeurs de Siam en France, Contenant la récéption qui leur a esté faite dans les Villes où ils ont passé, leurs Entrées dans Paris, les Cérémonies observées dans l'Audience qu'il ont euë du Roy & de la Maison Royale, les Compliments qu'ils ont faits, la Description des Lieux où ils ont esté, & ce qu'ils ont dit de remarquable sur tout ce qu'ils ont veu, p. 59-60",,musique de table	diplomatie	concert	réception officielle,1686.12.12,,,,,,,,,,"Ce qui s'est passé à Montloüis le jour qu'ils y ont esté regalez par les Jésuites		[Les Ambassadeurs] allèrent accompagnez des Mandarins à la Maison des Pères Jésuites, dite Montloüis, située sur une hauteur au delà du Faux-bourg S Antoine ; & après s'y estre promenez pendant quelque temps, on leur servit un diner si bien entendu & si magnifique, qu'ils dirent que l'on ne pouvoit traiter avec plus de magnificence & de propreté. Le R. Père de la Chaise, Confesseur du Roy, faisoit les honneurs de la Maison. Il y eur un Concert de Voix & d'Instrumens pendant le repas. [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LA CHAISE, François d'Aix [1624-1709], seigneur de	LOUIS XIV [1638-1715], roi de France	AMBASSADEUR DU SIAM À LA COUR DE FRANCE [1686.09]",,,,1686.12,,16861212,,,,,,,,,,,,,,,,,,,Jésuites de Paris
16861211,# compte-rendu,,,,,,,,PARIS,"Mercure Galant, décembre 1686, p. 335-336",,Te Deum laudamus	célébration du retour de la santé,1686.12.11,,,,,,,,,,"Te Deum chanté le 29 Décembre dans toutes les Paroisses de Paris, en action de Grâce de la parfaite Guérison du Roy.		Je n'ay rien à ajoûter, sinon qu'il a plu à Dieu d'exaucer tant de Prières, & que la Santé du Roy est parfaite, qu'il a remply tous les devoirs d'un Chrétien pendant les Festes estant descendu à la Chapelle, & que ce Dimanche 29 de ce mois, on chanta le Te Deum dans toutes les Paroisses de Paris, en action de grâces d'une guérison si ardemment souhaitée.",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LOUIS XIV [1638-1715], roi de France",,,,1686.12.29,,16861211,,,,,,,,,,,,,,,,,,,
16861210,# compte-rendu,,,,,,,,"LE HAVRE, Paroisse Saint-François	LE HAVRE, Paroisse Saint-Michel","Mercure Galant, décembre 1686, p. 333-335",,célébration du retour de la santé	Te Deum laudamus	procession	Exaudiat te Dominus,1686.12.10,,,,,,,,,,"Prières faites au Havre pour la guérison du Roy		Je ne parleray point encore des Prières qui ont esté faites dans les autres Villes, je pousserais ma Lettre trop loin ; mais le Havre ayant fait une chose extraordinaire, mérite d'être excepté. Le Dimanche 8 de ce mois, jour de la Conception de la Vierge, on y fit une Procession très solemnelle, qui commença après le Salut, & où le Saint Sacrement fut porté sous le Dais comme le jour de la Feste-Dieu. Toutes les Ruës estoient tapissées. Mr le Duc & Madame la Duchesse de saint Aignan suivoient le Dais, avec un grand nombre d'Officiers, de Dames, & de personnes considérables portant des Cierges. Les Confrères & tous les Prestres du Séminiare en portoient aussi, & plus de vingt cinq mille personnes suivoient la Procession. Après qu'elle fut rentrée, on commença les Prières par un Te Deum, en Action de Grâces de la meilleure santé du Roy. Il fut suivy de l'Exaudiat, & d'autres Pseaumes pour la conservation, pendant que les deux autres paroisses de S François & de S Michel, les Capucins, les Pénitens & les Ursulines, ne la demandoient pas avec moins d'ardeur.",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LOUIS XIV [1638-1715], roi de France	SAINT-AIGNAN, François de Beauvillier [1610-1687], duc de	SAINT-AIGNAN, Antoinette Servien [?-1679], duchesse de",,,,1686.12.08,,16861210,,,,,,,,,,,,,,,,,,,Pénitents du Havre	Capucins du Havre	Ursulines du Havre
16861209,# compte-rendu,,,,,,,,"PARIS, Église Saint-Sulpice","Mercure Galant, décembre 1686, p. 329",,protestantisme	messe	célébration du retour de la santé	conversion,1686.12.09,,,,,,,,,,"Zèle des nouveaux Catholiques, qui font des Prières Publiques pour Sa Majesté		Les nouveaux Catholiques qui doivent plus à Sa Majesté que les autres, puisqu'ils luy sont redevables de leur salut, en ont marqué leur reconnoissance par une Messe solemnelle qu'ils firent chanter à S Sulpice le 12 de ce mois, & où la plupart d'entre eux communièrent. [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LOUIS XIV [1638-1715], roi de France",,,,1686.12.12,,16861209,,,,,,,,,,,,,,,,,,,
16861208,# compte-rendu,,,,,,,,"PARIS, Collège royal	PARIS, Église Saint-Germain-l'Auxerrois	PARIS, Palais du Louvre, chapelle	PARIS, Palais du Louvre, galeries","Mercure Galant, décembre 1686, p. 322-328",,célébration du retour de la santé	Te Deum laudamus	prière pour le roi	musique de réjouissance publique	décoration d'église	messe en musique	cloche,1686.12.08,,,,,,,,,,"Continuation des Prières pour le Roy		J'ay commencé ma Lettre par les Prières qui ont esté faites pour l'heureux succès de l'Opération, à laquelle la fermeté du Roy l'avoit engagé à s'exposer, & je la finis en vous parlant encore de Prières ; mais il faut que je vous explique que ces Prières ont esté pour deux sujets. L'Eglise ordonna que l'on en fist après l'Opération, afin que les suites en fussent aussi heureuses que les commencemens l'avoient esté. Ensuite tous les Corps des Officiers de Ville, ceux des Arts & Métiers, & toutes les Communautez commencèrent à en faire pour le mesme sujet ; mais dans le cours de ces prières, & avant que tant de Corps eussent pû avoir leur tour, toutes les Eglises retentissant de celles qui se faisoient avec grande solemnité, on apprit la parfaite guérison du Roy, & ces Prières qui n'estoient que pour demander à Dieu le retour de sa Santé, non seulement furent changées en des Actions de grâces, mais l'on y mesla des Te Deum. Ce sont celles que l'on continuë encore tous les jours, & l'empressement est si grand, que tout Paris semble estre occupé à ces saintes réjoüissances. Quand on est hors des Eglises, on entend toutes les Cloches de la Ville sonner dans le mesme temps, & quand on entre dans quelqu'une, on entend que de la Musique, & on les trouve toutes remplies d'un Peuple priant aux pieds des Autels, & avec un zèle qui tire des larmes de joye de ceux qui ont autant d'amour pour le Roy, qu'en mérite toute ce que ce grand Monarque a fait pour la France. Les Eglises où ces Prières se font, sont éclairées d'un nombre infini de Cierges, & l'on n'y voit que riches Tapisseries, Argenterie & Tableaux. [...] [Les Professeurs du Collège Royal] qui sont logez dans les Galeries du Louvre, & que l'on peut dire chacun en son genre les premiers de leur Profession, puisque ce n'est que par là qu'ils ont mérité ces logemens, se sont extrêmement distinguez dans la Messe qu'ils ont fait chanter dans la Chapelle du Louvre. Ce fut Mr le Curé de Saint Germain l'Auxerrois, Paroisse du Louvre, qui la célébra. Elle fut accompagnée d'un Te Deum, & l'on peut dire que tout y estoit choisi. La Musique estoit du fameux Mr Lorenzani, dont la réputation est si établie ; les voix des plus belles de France & d'Italie ; la Chapelle magnifiquement décorée, & la Compagnie composée d'un très grand nombre de Personnes de qualité, & de Mrs de l'Académie Françoise, à qui le Roy, qui en est le Protecteur, a donné une Salle dans le Louvre [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LORENZANI, Paolo [1640-1713]	LOUIS XIV [1638-1715], roi de France",,,,1686.12,,16861208,,,,,,,,,,,"LORENZANI, P., Te Deum",,,,,,,,Académie française
16861206,# compte-rendu,,,,,,,,BUDAPEST	SEGREDIN,"Mercure Galant, décembre 1686, p. 249-250",,célébration d'une victoire militaire	Te Deum laudamus,1686.12.06,,,,,,,,,,"Tout ce qui s'est passé en Hongrie depuis la prise de Bude		[Cet article relate la campagne qui suivit la prise de Bude, qui s'acheva par la victoire des troupes du comte Veterani sur les Tartares aux environs de la ville de Segredin.]		[...] Si tost qu'il [le comte de Veterani] fut de retour au Camp devant cette Place, il fit chanter le Te Deum au bruit de la décharge toute l'Artillerie, après quoy il envoya aux Assiègez un des Prisonniers qu'on avoit fait, qui leur fit connoître qu'ils ne devoient espérer aucun secours du Grand Visir, dont l'Armée venoit d'estre en fuite. [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"VETERANI, Federico, comte de [?-1697 ca]",,,,1686.12,,16861206,,,,,,,,,,,,,,,,,,,
16861205,# compte-rendu,,,,,,,,"REMIREMONT	BOUXIÈRES-AUX-DAMES, Abbaye, église","Mercure Galant, décembre 1686, p. 156-157, 162",,messe en musique	Te Deum laudamus	nomination d'une abbesse,1686.12.05,,,,,,,,,,"Madame Simiane de Moncha est élevée Abbesse de Bouxfier		Je ne sçay, Madame, si je vous ay mandé, que les Dames Chanoinesses de Bouxfier en Lorraine ayant tenu Chapitre, y avoient élu pour leur Abbesse Madame Anne de Simiane de Moncha, Chanoinesse de Remiremont, que son mérite rend aussi considérable que sa naissance. [...] [On reprend ici les circonstances de son élection et la description des cérémonies organisées à cette occasion à l'issue desquelles :] [...]		On chanta le Te Deum, où une belle Simphonie se fit entendre aussi bien à la Messe qui fut célébrée ensuite. Au sortir de l'Eglise, toutes les Dames [menèrent la nouvelle Abbesse] dans sa Maison, & elle leur donna un repas très magnifique.",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"SIMIANE DE MONCHA, Anne-Marie-Françoise [?-1715]",,,,1686.12,,16861205,,,,,,,,,,,"non identifié, Te Deum laudamus	non identifié, Messe en musique",,,,,,,,
16861203,# compte-rendu,,,,,,,,"ROME, Palais Montecavallo, salle du consistoire	ROME, Palais Montecavallo, chapelle","Mercure Galant, décembre 1686, p. 85-86, 88-92, 99-100",,nomination d'un cardinal	Te Deum laudamus,1686.12.03,,,,,,,,,,"Discours contenant l'origine des Cardinaux, la grandeur de leur dignité, combien il y en doit y avoir dans le sacré Collège, ce que c'est que leur Titre, & la manière dont se fait leur élection.		[Après un long exposé historique sur l'histoire des cardinaux au sein de l'Eglise de Rome, l'auteur de l'article expose] [p. 79] ce qui s'est fait au Sujet de la dernière Promotion du deuxième de Septembre.		[...] Le Jeudy 5 du mesme mois le Pape leur donna le Chapeau le matin dans un Consistoire public avec beaucoup de solemnité. Les nouveaux Cardinaux avoient eu ordre de se rendre de bonne heure dans la Chapelle du Palais de Montecavallo. Ils y vinrent dans leurs Carosses de cérémonie, accompagnez d'un cortège de Prélats & de Noblesse. [...]		Deux Maistres de Cérémonies demeurèrent à l'entrée pour recevoir les nouveaux Cardinaux qu'ils firent placer sur le banc à main droite du Trône [sur lequel était le Pape] ; & la Musique de la Chapelle leur servit d'entretien pendant tout le temps qu'ils y furent.	Une heure après les anciens Cardinaux se rendirent aussi au palais de Montecavallo dans la Salle du Consistoire. [...] Deux Massiers de Sa Sainteté gardoient la Porte du Consistoire, & les Suisses estoient sur les montées, dans les Anti Salles, & autour des Bancs de la Salle, & prenoient soin de faire ranger le menu Peuple, & de ne laisser entrer que les Personnes d'aparence & de mise.	Quand la plus grande partie des Anciens Cardinaux fut venue un Maistre de Cérémonie leur vint donner avis que tous les nouveaux Cardinaux estoient arrivez. Aussi tost trois Cardinaux Chefs d'Ordre, je veux dire, le plus ancien des Evesques, le plus ancien des Prestres, & le plus ancien des diacres, se transportèrent dans la Chapelle avec le Cardinal Altieri, Carmerlingue de la Sainte Eglise, & le Cardinal Crescentio, Carmerlingue du Consistoire, précédez de deux Maistres de Cérémonies, & d'une partie de la Garde Suisse, & il y firent prester serment aux nouveaux Cardinaux sur l'Autel. Cela estant fait, ils se retournèrent au Consistoire, laissant les nouveaux Cardinaux dans la Chapelle, où les musiciens s'appliquèrent de nouveau à faire paroistre la justesse de leurs voix & la délicatesse de leurs compositions. [...]	Sur les quinze heures d'Italie qui pourroient estre environ dix heures du matin suivant l'Horloge de France, le Pape se rendit au Consistoire vestu pontificalement en Chape & en Mitre d'étoffe d'or. [...] [Il reçut les nouveaux Cardinaux en leur mettant le chapeau rouge sur la tête.]		Le Pape s'en retourna dans le mesme ordre qu'il éstoit venu en donnant sa Bénédiction, & les Cardinaux estant demeurez dans le Consistoire, la Musique de la Chapelle entonna le Te Deum à la porte, & marcha en Procession, les Cardinaux suivant deux à deux, & les Anciens donnant toûjours la droite aux Nouveaux. [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"ODESCALCHI, Benedetto [1611-1689]	ALTIERI DEGLI ALBERTONI, Paluzzi [1623-1698]	CRESCENZI, Alessandro [1607-1688]",,,,1686.09.02	1686.09.05,,16861203,,,,,,,,,,,,,,,,,,,Garde suisse	Collège cardinalice	Musique de la Chapelle du Pape
