xml:id	chars	head	bibl
MG-1672-01_000	2336	Le Libraire au lecteur	Le Mercure Galant, [tome I, janvier-avril], 1672, p. [I-VIII].
MG-1672-01_001	4924	[Dessein de l’Ouvrage] *	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 1-13.
MG-1672-01_013	9371	[L’Histoire du Collier de Perles]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 13-34.
MG-1672-01_034	1368	[Honneurs rendus à la mémoire de feüe Madame de Montausier]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 34-37.
MG-1672-01_037	1358	[Éloge de Monsieur l’Abbé de Noailles]	Le Mercure Galant, [tome I, janvier-avril], p. 37-40.
MG-1672-01_044	7138	[Histoire des Bas de Soye verds]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 44-60.
MG-1672-01_065	2660	[Discours sur le Bajazet, Tragédie du Sieur Racine]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 65-71.
MG-1672-01_071	7620	[Avantures arrivées à Constantinople à un François, par laquelle on peut juger de la galanterie des Turcs]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 71-89.
MG-1672-01_089	790	[Suite du discours sur le Bajazet, Tragédie du Sieur Racine] *	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 89-90.
MG-1672-01_091	8158	[L’Histoire de celle qui aima mieux se brûler avec son Mary, que de le voir infidèle]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 91-109.
MG-1672-01_109	834	[Discours sur le Mariage de Bachus, Comedie héroïque]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 109-111.
MG-1672-01_114	6056	[L’Histoire de la Famille visionnaire]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 114-128.
MG-1672-01_129	640	[Retour de Suede de Monsieur le Duc de Pompone]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 129-130.
MG-1672-01_131	7063	[L’Histoire de la Fille Soldat]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 131-147.
MG-1672-01_147	819	[Eloge de Monsieur le Duc de Coaslin]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 147-149.
MG-1672-01_150	1433	[Mort de Monsieur le Chancelier, & son Eloge]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 150-153.
MG-1672-01_165	407	[Eloges des Six Conseillers d’Etat ordinaires, & de six Maistres des Requestes que le Roy a choisis pour assister au Sceau]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 165-166.
MG-1672-01_166	1103	[Avanture d’une jeune Marquise apres la mort de Monsieur Gaultier excellent Ioüeur de Luth]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 166-168.
MG-1672-01_169	3186	[L’Histoire du Mary qui se croit Cocu par luy-mesme]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 169-176.
MG-1672-01_177	688	[Le retour d’Italie de Messieurs de Vendosme]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 177-178.
MG-1672-01_187	575	[Discours sur l’Ariane, Tragédie de monsieur de Corneille le jeune]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 187-188.
MG-1672-01_189	8094	[L’Histoire du Cabinet des Miroirs]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 189-207.
MG-1672-01_207	3402	[Discours sur une Comédie de Monsieur de Molière, intitulée les Femmes Sçavantes]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 207-215.
MG-1672-01_216	969	[Le Sujet du Voyage de l’Academie Françoise à Versailles, conduite par Monsieur l'Archevesque de Paris]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 216-218.
MG-1672-01_218	3214	[Régal de Monsieur le Marquis d’Angeau à Messieurs de l’Académie Françoise]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 218-225.
MG-1672-01_247	2779	[Discours sur les Eaux de Versailles, sur les Jardins, & sur les nouveaux Ouvrages qu’on y a mis ; avec les noms des Sculpteurs]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 247-253.
MG-1672-01_260	3030	[L’institution de l’Académie des belles Lettres, avec les noms de Messieurs les Académiciens]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 260-267.
MG-1672-01_267	1925	Lettre de Gas, Epagneul de Madame Des-houlieres	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 267-271.
MG-1672-01_271	280	[La Mort de Monsieur de Morangis]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 271-272.
MG-1672-01_273	737	[L’Entrée & l’Audience de Monsieur le Comte de Molina Ambassadeur Extraordinaire d’Espagne. Remarques curieuses sur ce sujet]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 273-274.
MG-1672-01_287	368	[Discours sur le Journal des Sçavans]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 287.
MG-1672-01_306	2125	[Discours sur les Livres nouveaux de Galanterie]	Le Mercure Galant, [tome I, janvier-avril], 1672, p. 306-310.
